text,intent
What are the HR policies?,get_hr_policy
Can you tell me about the company HR guidelines?,get_hr_policy
Where can I find information on leave and attendance rules?,get_hr_policy
How do I apply for leave?,apply_leave
What is the process to request time off?,apply_leave
Where do I submit a leave application?,apply_leave
What is the leave policy for employees?,get_leave_policy
How many sick leaves am I entitled to?,get_leave_policy
What is the annual leave entitlement?,get_leave_policy
How do I update my employee profile?,update_profile
Where can I change my contact information?,update_profile
How do I edit my emergency contact details?,update_profile
Where can I download my payslip?,get_payslip
How do I access my salary slip?,get_payslip
Where are my monthly payslips stored?,get_payslip
Who should I contact for HR issues?,contact_hr_support
How do I reach the HR helpdesk?,contact_hr_support
Who do I email for HR-related problems?,contact_hr_support
How do I update my skills in the system?,update_skills
Where can I add new competencies to my profile?,update_skills
How do I record completed training?,update_skills
When is the next performance review?,get_performance_review_dates
What are the performance appraisal dates?,get_performance_review_dates
When will my next evaluation take place?,get_performance_review_dates
How do I request a salary advance?,request_salary_advance
Where can I apply for an advance on my salary?,request_salary_advance
What is the process for salary advance?,request_salary_advance
What health insurance benefits are available?,get_health_insurance_benefits
What does the company health plan cover?,get_health_insurance_benefits
Where can I find details about medical insurance?,get_health_insurance_benefits
How do I report workplace harassment?,report_harassment
Where can I file a harassment complaint?,report_harassment
What should I do if I experience harassment at work?,report_harassment
How do I submit an expense report?,submit_expense_report
Where do I claim business expenses?,submit_expense_report
What is the process for expense reimbursement?,submit_expense_report
Where can I see my reimbursements?,get_reimbursements
How do I check the status of my expense claims?,get_reimbursements
Where is my reimbursement history?,get_reimbursements
When are salaries processed?,get_salary_processing_date
What day do we get paid?,get_salary_processing_date
When is payroll run each month?,get_salary_processing_date
How do I raise a purchase order?,raise_purchase_order
Where can I create a new PO?,raise_purchase_order
What is the process to buy new equipment?,raise_purchase_order
Can I download my tax documents?,get_tax_documents
Where do I find my tax statements?,get_tax_documents
How do I access previous fiscal year tax records?,get_tax_documents
Where can I find budget allocations?,get_budget_allocations
How do I check my department's budget?,get_budget_allocations
Where is the budget planning section?,get_budget_allocations
What are the payment terms?,get_payment_terms
What is the standard payment period?,get_payment_terms
Are there any early payment discounts?,get_payment_terms
How do I generate financial reports?,generate_financial_report
Where can I create a P&L statement?,generate_financial_report
How do I print a balance sheet?,generate_financial_report
What are the budget approval levels?,get_budget_approval_levels
Who can approve large budgets?,get_budget_approval_levels
What is the approval limit for managers?,get_budget_approval_levels
How do I reorder items?,reorder_inventory
Where can I request more stock?,reorder_inventory
How do I place a reorder for supplies?,reorder_inventory
Where is the inventory report?,get_inventory_report
How do I view stock summary?,get_inventory_report
Where can I download inventory data?,get_inventory_report
How do I add new stock?,add_new_stock
Where can I enter new inventory items?,add_new_stock
How do I record a new stock purchase?,add_new_stock
What happens when stock is low?,handle_low_stock
How does the system alert for low inventory?,handle_low_stock
What is the threshold for stock alerts?,handle_low_stock
Can I transfer stock between warehouses?,transfer_stock
How do I move items to another warehouse?,transfer_stock
What is the process for stock transfer?,transfer_stock
How do I track item expiry?,track_item_expiry
Where can I see perishable stock details?,track_item_expiry
How do I get alerts for expiring items?,track_item_expiry
How do I track inventory movement?,track_inventory_movement
Where can I monitor stock transfers?,track_inventory_movement
How do I see inventory flow?,track_inventory_movement
What are the stock categories?,get_stock_categories
How do I classify inventory items?,get_stock_categories
Where can I find inventory groups?,get_stock_categories
How do I conduct a stock audit?,conduct_stock_audit
What is the process for inventory verification?,conduct_stock_audit
How do I schedule a stock count?,conduct_stock_audit
How do I reset my password?,reset_password
Where is the forgot password link?,reset_password
How do I change my login credentials?,reset_password
Who to contact for technical issues?,contact_it_support
How do I get IT help?,contact_it_support
Where do I report system problems?,contact_it_support
How do I access the ERP off-site?,access_erp_remotely
What is the process for remote ERP login?,access_erp_remotely
How do I use VPN for ERP access?,access_erp_remotely
What to do if ERP is down?,report_erp_down
How do I report an ERP outage?,report_erp_down
Where can I check ERP system status?,report_erp_down
Can I integrate ERP with third-party tools?,integrate_with_third_party
How do I use the ERP API?,integrate_with_third_party
Where is the API documentation?,integrate_with_third_party
Where to find the user manual?,get_user_manual
How do I access ERP documentation?,get_user_manual
Where is the help guide for ERP?,get_user_manual
How to handle system errors?,handle_system_error
What should I do if I get an error code?,handle_system_error
How do I troubleshoot ERP issues?,handle_system_error
What are the backup procedures?,get_backup_procedures
How does the system backup data?,get_backup_procedures
Where can I find backup schedules?,get_backup_procedures
How to request system access?,request_system_access
Where do I apply for new system permissions?,request_system_access
How do I get access to a new module?,request_system_access
How to create a sales order?,create_sales_order
Where can I enter a new sales transaction?,create_sales_order
How do I process a customer order?,create_sales_order
How to track sales performance?,track_sales_performance
Where can I see sales metrics?,track_sales_performance
How do I view the sales dashboard?,track_sales_performance
